return-period,upper,lower
747,97.63522260479978,82.13501204698969
748,97.65050714264096,82.14781623641666
749,97.66577024570081,82.16060187745126
750,97.68101197261673,82.17336902169062
751,97.6962323817858,82.18611772051825
752,97.71143153136994,82.19884802510819
753,97.72660947929421,82.21155998642382
754,97.74176628325,82.22425365522056
755,97.75690200069347,82.23692908204458
756,97.77201668885259,82.24958631723891
757,97.787110404719,82.26222541093658
758,97.80218320506089,82.27484641307153
759,97.81723514641298,82.28744937337025
760,97.83226628508567,82.30003434135953
761,97.84727667716261,82.31260136636458
762,97.86226637850245,82.32515049751044
763,97.87723544474224,82.33768178372496
764,97.89218393129423,82.3501952737362
765,97.90711189335137,82.36269101607718
766,97.92201938588532,82.37516905908399
767,97.93690646364891,82.3876294508983
768,97.95177318117803,82.4000722394688
769,97.96661959279336,82.41249747255274
770,97.98144575259754,82.4249051977136
771,97.99625171447963,82.437295462325
772,98.01103753211729,82.44966831357249
773,98.0258032589746,82.46202379845188
774,98.04054894830526,82.47436196377181
775,98.0552746531533,82.48668285615467
776,98.06998042635436,82.49898652203753
777,98.08466632053467,82.51127300767143
778,98.09933238811723,82.52354235912657
779,98.11397868131587,82.53579462228751
780,98.12860525214253,82.5480298428592
781,98.14321215240531,82.56024806636547
782,98.1577994337108,82.57244933815113
783,98.1723671474615,82.58463370337961
784,98.18691534486382,82.59680120703997
785,98.20144407692251,82.60895189394235
786,98.2159533944442,82.62108580872064
787,98.2304433480385,82.63320299583381
788,98.24491398812063,82.64530349956803
789,98.25936536490875,82.65738736403449
790,98.27379752842842,82.66945463317323
791,98.28821052851022,82.68150535075114
792,98.30260441479511,82.69353956036659
793,98.31697923673109,82.70555730544667
794,98.33133504357676,82.71755862925019
795,98.3456718844019,82.72954357486822
796,98.35998980808712,82.74151218522393
797,98.37428886332657,82.75346450307478
798,98.38856909862747,82.76540057101238
799,98.40283056231208,82.77732043146392
800,98.41707330252011,82.78922412669459
801,98.4312973672038,82.80111169880317
802,98.44550280413652,82.81298318972951
803,98.4596896609076,82.82483864125018
804,98.47385798492728,82.83667809498262
805,98.48800782342538,82.84850159238425
806,98.50213922345343,82.86030917475406
807,98.51625223188233,82.8721008832309
808,98.53034689541052,82.8838767588003
809,98.54442326055572,82.89563684228757
810,98.55848137366412,82.90738117436567
811,98.57252128090425,82.9191097955499
812,98.586543028272,82.93082274620242
813,98.60054666159283,82.94252006653399
814,98.6145322265166,82.95420179659972
815,98.62849976852594,82.96586797630613
816,98.64244933293011,82.9775186454061
817,98.6563809648714,82.98915384350411
818,98.67029470932096,83.00077361005317
819,98.68419061108642,83.01237798436078
820,98.69806871480472,83.02396700558327
821,98.7119290649485,83.03554071273116
822,98.72577170582537,83.04709914466855
823,98.73959668157914,83.05864234011419
824,98.75340403618702,83.0701703376392
825,98.7671938134682,83.08168317567434
826,98.78096605707589,83.09318089250326
827,98.79472081050481,83.10466352626906
828,98.80845811708652,83.11613111497012
829,98.822178019997,83.1275836964667
830,98.83588056224859,83.13902130847427
831,98.84956578670112,83.15044398857265
832,98.86323373605167,83.16185177419764
833,98.87688445284556,83.17324470265034
834,98.89051797946945,83.18462281109123
835,98.90413435815513,83.19598613654345
836,98.91773363098197,83.20733471589499
837,98.93131583987436,83.21866858589648
838,98.94488102660549,83.2299877831644
839,98.95842923279353,83.24129234417805
840,98.97196049990882,83.25258230528543
841,98.98547486926896,83.26385770269928
842,98.99897238204383,83.27511857250127
843,99.01245307925184,83.28636495063905
844,99.02591700176403,83.29759687292949
845,99.03936419030556,83.3088143750601
846,99.05279468545123,83.32001749258535
847,99.06620852763155,83.33120626093172
848,99.07960575713233,83.34238071539745
849,99.09298641409232,83.3535408911505
850,99.10635053850822,83.36468682323294
851,99.11969817023336,83.37581854655978
852,99.13302934897528,83.38693609591697
853,99.14634411430197,83.3980395059667
854,99.15964250564043,83.40912881124629
855,99.17292456227564,83.42020404616726
856,99.18619032335226,83.43126524501685
857,99.19943982787576,83.44231244195896
858,99.21267311471422,83.45334567103576
859,99.22589022259622,83.46436496616587
860,99.23909119011263,83.47537036114605
861,99.25227605571898,83.486361889653
862,99.2654448577329,83.49733958524146
863,99.27859763433754,83.50830348134694
864,99.29173442358015,83.51925361128477
865,99.30485526337563,83.53019000825282
866,99.31796019150401,83.54111270532975
867,99.3310492456117,83.55202173547582
868,99.34412246321467,83.56291713153577
869,99.35717988169425,83.57379892623521
870,99.37022153830239,83.58466715218516
871,99.38324747016081,83.5955218418813
872,99.39625771426091,83.60636302770396
873,99.40925230746399,83.61719074191832
874,99.42223128650333,83.62800501667628
875,99.43519468798569,83.63880588401754
876,99.4481425483856,83.64959337586507
